ConceptScheme URI,http://purl.org/eLTER_CL,Main GUPRI (i.e. PID) under which all terms are defined. Preference is to use PURLs or W3IDs as they provide permanent resolvable identifiers.
"Prefixes for controlled vocabularies, schema and ontologies"
PREFIX,vocab,http://purl.org/eLTER_CL/,Prefix for our controlled vocabulary since it is rather tedious to write long URLs all the time
PREFIX,skos,http://www.w3.org/2004/02/skos/core#,Prefix for SKOS Ontology. This ontology is which our base for defining terms.
PREFIX,pav,http://purl.org/pav/ ,"Prefix for Provenance, Authoring and Versioning Ontology which properties such as version and createdOn we will use to describe our controlled vocabulary"
PREFIX,dct,http://purl.org/dc/terms/ ,"Prefix for Dublin Core (Terms) Ontology which properties such as title, description, rights, source, etc. we will use to describe our controlled vocabulary as well to define its terms"
PREFIX,iop,https://w3id.org/iadopt/ont/,The I-ADOPT Framework is an ontology designed to facilitate interoperability between existing variable description models.
PREFIX,qudt,http://qudt.org/schema/qudt/,"Prefix for ""Quantity, Unit, Dimension and Type"" schema that is used to model physical units."
PREFIX,unit,http://qudt.org/vocab/unit/,"Prefix for QUDT Vocabulary of Units which terms we will use to semantically define units of measurements for terms (i.e., variables) we are defining"
Metadata about vocabulary

dct:title,eLTER_CL,Title of the vocabulary
dct:description,eLTER_CL is a thesaurus for controlled lists used by the eLTER community,Description of the controlled vocabulary
dct:creator,,"An ORCID ID of the vocabulary creator, repeat this row as needed."
dct:rights,https://spdx.org/licenses/CC0-1.0,License under which the vocabulary is provided
pav:version,0.1.0,Vocabulary version
pav:createdOn,2021-11-12T12:00+02:00,Date when vocabulary was initially created
pav:lastUpdatedOn,2021-11-12T12:00+02:00,Date of the last vocabulary update
Definition of terms

Identifier,skos:prefLabel@en,skos:definition@en,"skos:altLabel(separator="","")","dct:source(separator="","")","skos:broader(separator="","")","skos:exactMatch(separator="","")","skos:closeMatch(separator="","")",iop:hasProperty,iop:hasObjectOfInterest,iop:hasMatrix,"iop:hasContextObject(separator="","")","iop:hasConstraint(separator="","")",skos:editorialNote@en,"dct:contributor(separator="","")","dct:contributor(separator="","")"
vocab:10000,Test Term 1
vocab:10001,Test Term 2
vocab:10002,Test Term 3
vocab:10003,Test Term 4
vocab:10004,Test Term 5
vocab:10005,Test Term 6
vocab:10006,Test Term 7
vocab:10007,Test Term 8
vocab:10008,Test Term 9
vocab:10009,Test Term 10
vocab:10010,Test Term 11
vocab:10011,Test Term 12
vocab:10012,Test Term 13
vocab:10013,Test Term 14
vocab:10014,Test Term 15
vocab:10015,Test Term 16
vocab:10016,Test Term 17
vocab:10017,Test Term 18
vocab:10018,Test Term 19
vocab:10019,Test Term 20
vocab:10020,Test Term 21
